skill,region,count
jira,Global Remote,5
jira,Kenya,1
apache airflow,Global Remote,2
apache airflow,South Africa,1
dbt,Global Remote,3
dbt,South Africa,1
ansible,South Africa,1
ansible,Global Remote,4
owasp,Global Remote,2
owasp,Kenya,2
penetration testing,Global Remote,2
penetration testing,Kenya,2
express,Global Remote,4
express,Kenya,2
datadog,Global Remote,8
grafana,Global Remote,6
jenkins,Global Remote,11
prometheus,Global Remote,7
pulumi,Global Remote,2
bash,Global Remote,3
elk,Global Remote,3
huggingface,Global Remote,2
pandas,Global Remote,2
apache spark,Global Remote,1
gitlab,Global Remote,7
gitlab,Kenya,1
new relic,Global Remote,3
splunk,Global Remote,3
redis,Global Remote,5
redis,Kenya,1
pair programming,Global Remote,2
tls,Global Remote,2
transformers,Global Remote,1
keras,Global Remote,2
clickhouse,Global Remote,2
gitlab ci,Global Remote,5
cicd,Global Remote,1
Looker,Global Remote,3
looker,Global Remote,3
vault,Global Remote,2
hugging face,Global Remote,1
tailwind,Global Remote,3
express.js,Kenya,1
digitalocean,Kenya,1
design patterns,Kenya,1
design patterns,Global Remote,2
jwt,Kenya,1
firewall,Kenya,1
jquery,Kenya,1
ssl,Kenya,1
elixir,Kenya,1
elixir,Global Remote,1
elixir,Nigeria,1
clojure,Kenya,1
apache kafka,Global Remote,1
code review,Global Remote,1
gRPC,Global Remote,1
grpc,Global Remote,1
looker studio,Global Remote,1
numpy,Global Remote,1
kibana,Global Remote,1
helm,Global Remote,3
d3,Global Remote,2
mlflow,Global Remote,1
lambda,Global Remote,1
fastapi,Global Remote,2
dynamodb,Global Remote,1
shadcn,Global Remote,1
vercel,Global Remote,2
rspec,Global Remote,1
puppet,Global Remote,2
babel,Global Remote,1
bootstrap,Global Remote,1
scss,Global Remote,1
webpack,Global Remote,1
junit,Global Remote,1
tdd,Global Remote,1
shell,Nigeria,1
shell,Kenya,1
nextjs,Egypt,1
